index,learning_rate,batch_size,num_unit,auc,epochs,activation,dropout_rate,initilizer,num_layers,momentum,optimizer
48209,0.1,500,100,0.8970710663740256,50,relu,0.1,he_uniform,2,0,SGD
48058,0.1,200,2048,0.8969953833345947,20,relu,0.1,uniform,2,0,SGD
20701,0.001,20,2048,0.895519564065693,50,selu,0.1,he_uniform,2,0,SGD
32215,0.01,20,2048,0.8955195640656928,20,softsign,0.7,he_uniform,2,0,SGD
31879,0.01,20,512,0.895443881026262,20,softsign,0.7,uniform,2,0,SGD
5917,0.001,20,256,0.8950276243093922,50,softsign,0.1,lecun_uniform,2,0,SGD
30070,0.01,200,100,0.893778854158783,100,softsign,0.5,lecun_uniform,2,0,SGD
35679,0.01,100,2048,0.8937410126390676,50,tanh,0.5,he_uniform,2,0,SGD
43665,0.01,100,256,0.8937410126390676,20,selu,0.1,he_uniform,5,0,SGD
35967,0.01,100,2048,0.893513963520775,50,tanh,0.7,lecun_uniform,2,0,SGD
35084,0.01,50,512,0.8934761220010595,100,tanh,0.5,normal,5,0,SGD
36391,0.01,20,100,0.8934382804813441,20,tanh,0.7,uniform,2,0,SGD
35647,0.01,20,512,0.8932869144024825,20,tanh,0.5,he_uniform,5,0,SGD
48071,0.1,500,2048,0.8930598652841899,100,relu,0.1,uniform,2,0,SGD
44320,0.01,200,2048,0.8929274199651859,50,selu,0.5,normal,2,0,SGD
31645,0.01,20,2048,0.8928328161658972,50,softsign,0.7,normal,2,0,SGD
12595,0.001,20,512,0.8927571331264664,100,tanh,0.5,he_uniform,2,0,SGD
26702,0.01,50,512,0.892719291606751,50,relu,0.7,lecun_uniform,2,0,SGD
30238,0.01,200,2048,0.8926814500870355,100,softsign,0.5,lecun_uniform,5,0,SGD
31270,0.01,200,256,0.8926057670476046,100,softsign,0.7,lecun_uniform,2,0,SGD
36253,0.01,20,2048,0.8924544009687428,50,tanh,0.7,normal,2,0,SGD
11755,0.001,20,512,0.8923408764095966,100,tanh,0.5,lecun_uniform,5,0,SGD
35534,0.01,50,100,0.8922651933701659,50,tanh,0.5,he_uniform,2,0,SGD
37603,0.01,20,256,0.8921138272913041,100,sigmoid,0,uniform,2,0,SGD
48503,0.1,500,100,0.8920570650117309,100,relu,0.5,lecun_uniform,2,0,SGD
31366,0.01,200,2048,0.8918867781730114,100,softsign,0.7,lecun_uniform,2,0,SGD
30926,0.01,50,100,0.8917354120941496,50,softsign,0.5,he_uniform,2,0,SGD
46048,0.01,200,2048,0.8912434723378491,50,selu,0.7,he_uniform,2,0,SGD
48593,0.1,500,512,0.8911677892984183,50,relu,0.5,lecun_uniform,2,0,SGD
34712,0.01,50,256,0.8909028986604102,20,tanh,0.5,lecun_uniform,2,0,SGD
36572,0.01,50,2048,0.8908272156209793,100,tanh,0.7,uniform,5,0,SGD
48490,0.1,200,100,0.8908272156209793,20,relu,0.5,lecun_uniform,2,0,SGD
12931,0.001,20,2048,0.8906380080224021,100,tanh,0.7,lecun_uniform,2,0,SGD
31310,0.01,50,512,0.8906001665026868,50,softsign,0.7,lecun_uniform,2,0,SGD
36259,0.01,20,2048,0.8905434042231136,100,tanh,0.7,normal,2,0,SGD
36115,0.01,20,100,0.890524483463256,100,tanh,0.7,normal,2,0,SGD
42019,0.01,20,2048,0.8903163551048211,100,selu,0,normal,2,0,SGD
31652,0.01,50,2048,0.8902217513055326,100,softsign,0.7,normal,2,0,SGD
26750,0.01,50,2048,0.890183909785817,50,relu,0.7,lecun_uniform,2,0,SGD
34743,0.01,100,256,0.890183909785817,50,tanh,0.5,lecun_uniform,5,0,SGD
38989,0.01,20,100,0.890183909785817,50,sigmoid,0.1,he_uniform,2,0,SGD
45380,0.01,50,256,0.8901460682661015,100,selu,0.7,normal,2,0,SGD
39140,0.01,50,2048,0.8901082267463861,100,sigmoid,0.1,he_uniform,2,0,SGD
27571,0.01,20,512,0.889843336108378,100,relu,0.7,he_uniform,2,0,SGD
30208,0.01,200,2048,0.8898054945886628,50,softsign,0.5,lecun_uniform,2,0,SGD
36535,0.01,20,2048,0.8898054945886628,20,tanh,0.7,uniform,2,0,SGD
23191,0.01,20,256,0.889786573828805,20,relu,0,lecun_uniform,2,0,SGD
44902,0.01,200,2048,0.8897676530689473,100,selu,0.5,he_uniform,2,0,SGD
43991,0.01,500,512,0.8897676530689472,100,selu,0.5,lecun_uniform,2,0,SGD
30224,0.01,50,2048,0.8897298115492318,20,softsign,0.5,lecun_uniform,5,0,SGD
32180,0.01,50,512,0.8895406039506546,100,softsign,0.7,he_uniform,2,0,SGD
34335,0.01,100,10,0.8894649209112238,50,tanh,0.1,he_uniform,2,0,SGD
35918,0.01,50,512,0.8894270793915084,50,tanh,0.7,lecun_uniform,2,0,SGD
7771,0.001,20,2048,0.8893513963520775,100,softsign,0.5,uniform,5,0,SGD
12547,0.001,20,256,0.8893513963520775,100,tanh,0.5,he_uniform,2,0,SGD
44799,0.01,100,256,0.8893135548323621,50,selu,0.5,he_uniform,2,0,SGD
29944,0.01,200,2048,0.889313554832362,50,softsign,0.1,he_uniform,5,0,SGD
46930,0.1,200,2048,0.8891432679936426,20,relu,0,uniform,5,0,SGD
11635,0.001,20,100,0.889124347233785,100,tanh,0.5,lecun_uniform,2,0,SGD
35686,0.01,200,2048,0.8890865057140696,100,tanh,0.5,he_uniform,2,0,SGD
35815,0.01,20,100,0.8890865057140694,20,tanh,0.7,lecun_uniform,2,0,SGD
26708,0.01,50,512,0.889048664194354,100,relu,0.7,lecun_uniform,2,0,SGD
35638,0.01,200,512,0.889048664194354,100,tanh,0.5,he_uniform,2,0,SGD
36453,0.01,100,256,0.889048664194354,100,tanh,0.7,uniform,2,0,SGD
32132,0.01,50,256,0.8890108226746386,100,softsign,0.7,he_uniform,2,0,SGD
48382,0.1,200,2048,0.8889540603950654,100,relu,0.1,he_uniform,5,0,SGD
4765,0.001,20,256,0.8889351396352078,50,softsign,0,lecun_uniform,2,0,SGD
36692,0.01,50,100,0.8889351396352076,100,tanh,0.7,he_uniform,2,0,SGD
36823,0.01,20,2048,0.8889351396352076,20,tanh,0.7,he_uniform,2,0,SGD
19207,0.001,20,512,0.8888972981154923,20,selu,0,uniform,2,0,SGD
30790,0.01,200,2048,0.8888972981154923,100,softsign,0.5,uniform,2,0,SGD
31508,0.01,50,100,0.888783773556346,100,softsign,0.7,normal,2,0,SGD
47517,0.1,100,2048,0.8887459320366307,100,relu,0.1,lecun_uniform,5,0,SGD
49217,0.1,500,2048,0.8887080905169151,50,relu,0.5,uniform,2,0,SGD
10501,0.001,20,100,0.8886324074774843,50,tanh,0.1,lecun_uniform,5,0,SGD
35590,0.01,200,256,0.8885945659577689,100,tanh,0.5,he_uniform,2,0,SGD
