index,batch_size,activation,learning_rate,num_layers,units,auc,optimizer,epochs
24,100,relu,0.1,5,512,0.8916218875350035,SGD,10
567,100,relu,0.1,9,2048,0.8852645122228109,SGD,10
571,200,relu,0.2,2,2048,0.8824642397638688,SGD,10
561,100,relu,0.1,2,2048,0.8821047453265723,SGD,10
293,50,relu,0.1,5,1024,0.8800045409823658,SGD,10
562,200,relu,0.1,2,2048,0.8796072050253538,SGD,10
195,100,selu,0.01,5,512,0.879323393627488,SGD,10
299,50,relu,0.2,2,1024,0.8773556346022857,SGD,10
21,100,relu,0.1,2,512,0.8768258533262696,SGD,10
738,100,selu,0.01,9,2048,0.8767501702868387,SGD,10
551,50,relu,0.01,2,2048,0.8758419738136685,SGD,10
52,200,relu,0.001,5,512,0.8755770831756604,Adam,10
576,100,relu,0.2,9,2048,0.8746121244229168,SGD,10
464,50,selu,0.01,5,1024,0.8743661545447665,SGD,10
202,200,selu,0.1,2,512,0.8742147884659048,SGD,10
310,200,relu,0.5,2,1024,0.8733065919927344,SGD,10
582,100,relu,0.5,5,2048,0.8731552259138726,SGD,10
573,100,relu,0.2,5,2048,0.8727200484371452,SGD,10
579,100,relu,0.5,2,2048,0.8727200484371452,SGD,10
322,200,relu,0.001,5,1024,0.8725876031181413,Adam,10
313,200,relu,0.5,5,1024,0.8722091879209869,SGD,10
466,200,selu,0.01,5,1024,0.8714523575266783,SGD,10
137,50,sigmoid,0.001,2,512,0.8711685461288126,Adam,10
55,200,relu,0.001,9,512,0.8703549534549307,Adam,10
594,100,relu,0.001,9,2048,0.8701089835767803,Adam,10
732,100,selu,0.01,2,2048,0.8700522212972074,SGD,10
304,200,relu,0.2,5,1024,0.8699197759782034,SGD,10
467,50,selu,0.01,9,1024,0.8699008552183456,SGD,10
325,200,relu,0.001,9,1024,0.8696738061000528,Adam,10
142,200,sigmoid,0.001,5,512,0.8695981230606222,Adam,10
499,200,selu,0.001,2,1024,0.8695792023007644,Adam,10
733,200,selu,0.01,2,2048,0.8694089154620449,SGD,10
462,100,selu,0.01,2,1024,0.8692197078634678,SGD,10
565,200,relu,0.1,5,2048,0.8691818663437524,SGD,10
37,200,relu,0.2,9,512,0.868803451146598,SGD,10
205,200,selu,0.1,5,512,0.8687845303867403,SGD,10
197,50,selu,0.01,9,512,0.8685764020283055,SGD,10
498,100,selu,0.001,2,1024,0.8685764020283054,Adam,10
574,200,relu,0.2,5,2048,0.8683871944297283,SGD,10
583,200,relu,0.5,5,2048,0.8683304321501552,SGD,10
296,50,relu,0.1,9,1024,0.8682169075910089,SGD,10
148,200,sigmoid,0.01,2,512,0.8681033830318625,Adam,10
51,100,relu,0.001,5,512,0.8679141754332854,Adam,10
49,200,relu,0.001,2,512,0.8673276318776961,Adam,10
317,50,relu,0.001,2,1024,0.8671195035192613,Adam,10
47,50,relu,0.001,2,512,0.8666464845228184,Adam,10
580,200,relu,0.5,2,2048,0.8664761976840991,SGD,10
725,50,selu,0.001,5,2048,0.8664572769242415,SGD,10
501,100,selu,0.001,5,1024,0.8664005146446682,Adam,10
554,50,relu,0.01,5,2048,0.8663815938848104,SGD,10
570,100,relu,0.2,2,2048,0.8659464164080829,SGD,10
552,100,relu,0.01,2,2048,0.8657004465299327,SGD,10
295,200,relu,0.1,5,1024,0.8650192991750549,SGD,10
231,100,selu,0.001,5,512,0.8645841216983274,Adam,10
198,100,selu,0.01,9,512,0.8644138348596081,SGD,10
228,100,selu,0.001,2,512,0.8643003103004617,Adam,10
48,100,relu,0.001,2,512,0.8641489442215999,Adam,10
677,50,sigmoid,0.001,2,2048,0.8641111027018844,Adam,10
407,50,sigmoid,0.001,2,1024,0.8640732611821692,Adam,10
679,200,sigmoid,0.001,2,2048,0.8640732611821691,Adam,10
146,50,sigmoid,0.01,2,512,0.8640354196624537,Adam,10
233,50,selu,0.001,9,512,0.8638462120638765,Adam,10
678,100,sigmoid,0.001,2,2048,0.8638462120638765,Adam,10
29,50,relu,0.2,2,512,0.8636380837054416,SGD,10
588,100,relu,0.001,2,2048,0.8635624006660108,Adam,10
53,50,relu,0.001,9,512,0.8635245591462952,Adam,10
20,50,relu,0.1,2,512,0.8635056383864377,SGD,10
469,200,selu,0.01,9,1024,0.8632029062287141,SGD,10
297,100,relu,0.1,9,1024,0.8628244910315598,SGD,10
468,100,selu,0.01,9,1024,0.8624460758344056,SGD,10
410,50,sigmoid,0.001,5,1024,0.8621811851963974,Adam,10
318,100,relu,0.001,2,1024,0.8621055021569667,Adam,10
470,50,selu,0.1,2,1024,0.8619162945583895,SGD,10
229,200,selu,0.001,2,512,0.8616703246802392,Adam,10
411,100,sigmoid,0.001,5,1024,0.861348671762658,Adam,10
564,100,relu,0.1,5,2048,0.8613108302429426,SGD,10
234,100,selu,0.001,9,512,0.8607810489669266,Adam,10
