Model ID,AUC,activation,batch_size,dropout_rate,epochs,init,lr,momentum,n_layers,optimizer,units
22,0.893741013,relu,200,0.0001,5,normal,0.2,0.5,2,SGD,858
28,0.891016423,relu,200,0.5,30,normal,0.2,0.001,2,SGD,904
24,0.879701809,selu,85,0.5,5,normal,0.2,0.001,2,SGD,586
10,0.874214788,sigmoid,134,0.065985751,23,he_uniform,0.03664644,0.293669954,2,RMSprop,10
12,0.867933096,selu,200,0.5,5,normal,0.2,0.001,2,SGD,103
8,0.867441156,selu,94,0.488382868,20,he_normal,0.007847167,0.142120674,4,Adam,126
25,0.858359192,selu,200,0.0001,5,lecun_uniform,1.00E-05,0.5,15,RMSprop,936
30,0.856750927,selu,1,0.0001,30,lecun_uniform,1.00E-05,0.001,15,RMSprop,373
27,0.841784606,relu,119,0.0001,30,normal,1.00E-05,0.5,2,RMSprop,543
11,0.808332703,selu,1,0.5,30,normal,1.00E-05,0.001,2,SGD,654
23,0.779308257,selu,1,0.5,30,normal,1.00E-05,0.001,2,SGD,258
20,0.752440778,selu,1,0.5,30,normal,1.00E-05,0.001,2,SGD,5
21,0.672595171,relu,200,0.5,5,normal,1.00E-05,0.5,2,RMSprop,575
13,0.639597366,selu,200,0.5,30,normal,0.2,0.001,15,SGD,1024
18,0.582456671,selu,1,0.5,30,lecun_uniform,1.00E-05,0.001,15,RMSprop,1024
16,0.547718156,selu,200,0.5,30,normal,1.00E-05,0.001,15,SGD,5
5,0.511598426,sigmoid,88,0.348845835,7,he_normal,0.134130868,0.105980898,4,Adam,376
26,0.507946719,selu,1,0.5,5,normal,1.00E-05,0.5,15,SGD,610
6,0.500662227,sigmoid,88,0.494188082,8,he_uniform,0.03227029,0.326901054,5,Adam,254
2,0.5,selu,106,0.284065476,28,lecun_uniform,0.017434989,0.01108898,13,RMSprop,892
3,0.5,selu,160,0.230793533,25,lecun_uniform,0.127987805,0.07253329,14,Adam,428
4,0.5,sigmoid,155,0.228129551,19,lecun_uniform,0.123530923,0.306435766,10,RMSprop,700
7,0.5,relu,23,0.328199162,8,he_uniform,0.073751347,0.410675622,3,RMSprop,103
9,0.5,sigmoid,83,0.032167333,22,uniform,0.053085244,0.262100779,3,Adam,952
14,0.5,relu,1,0.0001,30,normal,0.164082694,0.5,15,RMSprop,513
15,0.5,selu,1,0.5,5,normal,0.2,0.001,15,SGD,792
19,0.5,relu,129,0.0001,5,lecun_uniform,0.2,0.5,15,RMSprop,73
1,0.488401574,sigmoid,143,0.301421412,19,uniform,0.129182364,0.219356018,14,RMSprop,396
29,0.478695224,selu,74,0.5,30,normal,1.00E-05,0.001,2,SGD,5
17,0.472716264,relu,200,0.0001,30,lecun_uniform,1.00E-05,0.001,2,SGD,190
